"","StockCode","Categoria"
"1","79323P","Categoria 6"
"2","21977","Categora 1"
"3","84991","Categoria 8"
"4","22274","Categoria 2"
"5","22273","Categoria 6"
"6","22179","Categoria 5"
"7","22320","Categoria 6"
"8","22232","Categora 1"
"9","84598","Categoria 3"
"10","79323W","Categoria 5"
"11","22138","Categoria 2"
"12","22139","Categoria 8"
"13","79323S","Categoria 8"
"14","21731","Categoria 7"
"15","84568","Categoria 7"
"16","79323GR","Categoria 5"
"17","22246","Categoria 3"
"18","22468","Categoria 8"
"19","22617","Categoria 3"
"20","22417","Categoria 5"
"21","21212","Categora 1"
"22","21080","Categoria 8"
"23","20713","Categoria 4"
"24","20727","Categora 1"
"25","22499","Categoria 3"
"26","21795","Categora 1"
"27","21976","Categoria 3"
"28","22466","Categoria 3"
"29","79342B","Categora 1"
"30","79323LP","Categoria 5"
"31","79323B","Categoria 7"
"32","79323G","Categoria 2"
"33","22865","Categora 1"
"34","22952","Categoria 2"
"35","22946","Categoria 2"
"36","22894","Categora 1"
"37","22908","Categoria 3"
"38","22898","Categoria 8"
"39","22951","Categoria 5"
"40","21213","Categoria 3"
"41","22423","Categoria 6"
"42","22634","Categoria 2"
"43","22635","Categoria 3"
"44","22505","Categoria 8"
"45","22619","Categoria 3"
"46","22623","Categoria 5"
"47","22704","Categoria 6"
"48","16156S","Categoria 7"
"49","22893","Categoria 4"
"50","22909","Categoria 8"
"51","22734","Categoria 5"
"52","85049A","Categoria 8"
"53","21891","Categoria 5"
"54","22837","Categora 1"
"55","22941","Categoria 2"
"56","22149","Categoria 5"
"57","21790","Categoria 7"
"58","21892","Categora 1"
"59","79302M","Categoria 3"
"60","84375","Categoria 3"
"61","85132C","Categoria 7"
"62","85226C","Categoria 4"
"63","21100","Categoria 7"
"64","37370","Categoria 5"
"65","21673","Categoria 5"
"66","85099B","Categoria 2"
"67","21890","Categoria 3"
"68","22147","Categoria 2"
"69","21538","Categoria 3"
"70","21532","Categoria 8"
"71","21534","Categoria 6"
"72","21541","Categoria 3"
"73","84687","Categoria 3"
"74","72023F","Categoria 6"
"75","22352","Categoria 4"
"76","20665","Categoria 4"
"77","21672","Categoria 6"
"78","21258","Categora 1"
"79","22321","Categoria 8"
"80","22328","Categoria 7"
"81","21527","Categoria 7"
"82","48138","Categoria 4"
"83","22253","Categora 1"
"84","22379","Categoria 4"
"85","84467","Categoria 6"
"86","17091A","Categoria 2"
"87","20981","Categoria 6"
"88","84879","Categoria 5"
"89","22177","Categoria 2"
"90","85214","Categoria 5"
"91","22084","Categoria 6"
"92","21257","Categora 1"
"93","84534B","Categoria 6"
"94","84685","Categora 1"
"95","20718","Categora 1"
"96","21535","Categoria 2"
"97","20685","Categoria 6"
"98","22441","Categoria 7"
"99","22636","Categoria 7"
"100","21259","Categoria 2"
"101","85132B","Categoria 8"
"102","21703","Categoria 6"
"103","72741","Categoria 6"
"104","85199L","Categoria 8"
"105","22086","Categoria 5"
"106","85123A","Categoria 4"
"107","82616B","Categoria 5"
"108","22276","Categoria 5"
"109","84912B","Categoria 3"
"110","85014C","Categora 1"
"111","85014A","Categoria 5"
"112","85014B","Categoria 7"
"113","85014D","Categoria 7"
"114","21326","Categoria 4"
"115","84946","Categoria 7"
"116","84949","Categoria 7"
"117","21491","Categoria 2"
"118","21908","Categoria 6"
"119","21181","Categoria 5"
"120","82483","Categoria 5"
"121","21371","Categoria 7"
"122","85152","Categoria 3"
"123","21133","Categoria 5"
"124","20984","Categoria 4"
"125","20982","Categoria 6"
"126","84971L","Categoria 3"
"127","21912","Categoria 5"
"128","90168","Categoria 4"
"129","84884A","Categoria 3"
"130","90013C","Categoria 5"
"131","90023","Categoria 6"
"132","90145","Categoria 8"
"133","90000A","Categoria 8"
"134","90024B","Categoria 3"
"135","90036D","Categoria 5"
"136","90134","Categoria 4"
"137","90131","Categoria 8"
"138","90199C","Categoria 7"
"139","21754","Categoria 3"
"140","84356","Categoria 7"
"141","84510F","Categoria 8"
"142","21985","Categoria 2"
"143","22082","Categoria 7"
"144","22080","Categoria 5"
"145","22079","Categoria 3"
"146","22078","Categoria 4"
"147","85184C","Categora 1"
"148","20699","Categoria 5"
"149","85089","Categoria 8"
"150","84510A","Categoria 3"
"151","84691","Categora 1"
